139002000000,139000000000,辛集市,county,3,139002,,,,t,f,f,,,,河北省,省直辖县级行政区划,辛集市,,
139002100000,139002000000,辛集镇,town,4,139002,,,,f,f,f,,,,河北省,省直辖县级行政区划,辛集市,辛集镇,
139002101000,139002000000,旧城镇,town,4,139002,,,,f,f,f,,,,河北省,省直辖县级行政区划,辛集市,旧城镇,
139002102000,139002000000,张古庄镇,town,4,139002,,,,f,f,f,,,,河北省,省直辖县级行政区划,辛集市,张古庄镇,
139002103000,139002000000,位伯镇,town,4,139002,,,,f,f,f,,,,河北省,省直辖县级行政区划,辛集市,位伯镇,
139002104000,139002000000,新垒头镇,town,4,139002,,,,f,f,f,,,,河北省,省直辖县级行政区划,辛集市,新垒头镇,
139002105000,139002000000,新城镇,town,4,139002,,,,f,f,f,,,,河北省,省直辖县级行政区划,辛集市,新城镇,
139002106000,139002000000,南智邱镇,town,4,139002,,,,f,f,f,,,,河北省,省直辖县级行政区划,辛集市,南智邱镇,
139002107000,139002000000,王口镇,town,4,139002,,,,f,f,f,,,,河北省,省直辖县级行政区划,辛集市,王口镇,
139002200000,139002000000,天宫营乡,town,4,139002,,,,f,f,f,,,,河北省,省直辖县级行政区划,辛集市,天宫营乡,
139002201000,139002000000,前营乡,town,4,139002,,,,f,f,f,,,,河北省,省直辖县级行政区划,辛集市,前营乡,
139002202000,139002000000,马庄乡,town,4,139002,,,,f,f,f,,,,河北省,省直辖县级行政区划,辛集市,马庄乡,
139002203000,139002000000,和睦井乡,town,4,139002,,,,f,f,f,,,,河北省,省直辖县级行政区划,辛集市,和睦井乡,
139002204000,139002000000,田家庄乡,town,4,139002,,,,f,f,f,,,,河北省,省直辖县级行政区划,辛集市,田家庄乡,
139002205000,139002000000,中里厢乡,town,4,139002,,,,f,f,f,,,,河北省,省直辖县级行政区划,辛集市,中里厢乡,
139002206000,139002000000,小辛庄乡,town,4,139002,,,,f,f,f,,,,河北省,省直辖县级行政区划,辛集市,小辛庄乡,
139002500000,139002000000,辛集经济开发区,town,4,139002,,,,f,f,f,,,,河北省,省直辖县级行政区划,辛集市,辛集经济开发区,
139002100001,139002100000,路南街居委会,village,5,139002,,,111,f,f,f,,,,河北省,省直辖县级行政区划,辛集市,辛集镇,路南街居委会
139002100002,139002100000,棉麻街居委会,village,5,139002,,,111,f,f,f,,,,河北省,省直辖县级行政区划,辛集市,辛集镇,棉麻街居委会
139002100003,139002100000,建设东街居委会,village,5,139002,,,111,f,f,f,,,,河北省,省直辖县级行政区划,辛集市,辛集镇,建设东街居委会
139002100004,139002100000,康建社区居委会,village,5,139002,,,111,f,f,f,,,,河北省,省直辖县级行政区划,辛集市,辛集镇,康建社区居委会
139002100005,139002100000,新开东街居委会,village,5,139002,,,111,f,f,f,,,,河北省,省直辖县级行政区划,辛集市,辛集镇,新开东街居委会
